2018-3-12 22:31:58 127.0.0.1 GET  HTTP/1.1 200 540
2018-3-12 22:43:48 127.0.0.1 GET / HTTP/1.1 200 2044
2018-3-12 22:43:48 127.0.0.1 GET /images/spacer.gif HTTP/1.1 200 527
2018-3-12 22:46:21 127.0.0.1 GET / HTTP/1.1 200 2044
2018-3-12 22:46:52 127.0.0.1 GET / HTTP/1.1 200 2147
2018-3-12 22:46:52 127.0.0.1 GET /css/style.css HTTP/1.1 200 3070
2018-3-12 22:46:52 127.0.0.1 GET /css/style-buttons.css HTTP/1.1 200 2844
2018-3-12 22:54:5 127.0.0.1 GET / HTTP/1.1 200 2044
2018-3-12 22:54:5 127.0.0.1 GET /images/spacer.gif HTTP/1.1 302 527
2018-3-12 22:54:16 127.0.0.1 GET /hrs/ HTTP/1.1 200 1040
2018-3-12 22:54:17 127.0.0.1 GET /hrs/redir.php?q=mightyseek HTTP/1.1 302 379
2018-3-12 22:54:17 127.0.0.1 GET /crosstraining/search.php?q=mightyseek HTTP/1.1 200 1059
2018-3-12 22:54:25 127.0.0.1 GET /hrs/ HTTP/1.1 200 1040
2018-3-12 22:54:25 127.0.0.1 GET / HTTP/1.1 200 2044
2018-3-12 22:54:30 127.0.0.1 GET /ht/ls-zdnet.js! HTTP/1.1 404 460
2018-3-12 23:36:10 127.0.0.1 GET / HTTP/1.1 200 2044
